"Neighborhood_ID","Species","BA_total"
"1EA1","ACRU",49.01670478
"1EA1","FAGR",260.2809801
"1EA1","PIST",710.6597525
"1EA1","POGR",5176.583428
"1EA1","POTR",76.97688248
"1EA1","QURU",105.6831885
"1EA2","ACRU",7.547677183
"1EA2","ACSA",1479.32902
"1EA2","PIST",465.9846357
"1EA2","POGR",4387.910067
"1EA2","QURU",295.8438128
"1EA3","ACRU",514.7185971
"1EA3","PIST",533.7252348
"1EA3","QURU",4174.415261
"1EP1","ACRU",56.56438197
"1EP1","ACSA",1116.278679
"1EP1","FAGR",260.2809801
"1EP1","PIST",526.8058762
"1EP1","POGR",4453.223785
"1EP1","QURU",226.4460234
"1EP2","ACRU",423.0233514
"1EP2","FAGR",260.2809801
"1EP2","PIST",631.7507904
"1EP2","POGR",5816.714417
"1EP2","POTR",76.97688248
"1EP2","QURU",120.4565296
"1EP3","ACSA",1479.32902
"1EP3","PIST",498.5865171
"1EP3","POGR",191.0716863
"1EP3","QURU",978.9596487
"1EQ1","ACRU",49.01670478
"1EQ1","ACSA",1479.32902
"1EQ1","PIST",262.4015553
"1EQ1","POGR",1873.536109
"1EQ1","QURU",293.9038791
"1EQ2","ACRU",56.56438197
"1EQ2","ACSA",1479.32902
"1EQ2","PIST",262.4015553
"1EQ2","POGR",3704.024541
"1EQ2","QURU",190.1606243
"1EQ3","FAGR",83.32290034
"1EQ3","PIST",383.5963593
"1EQ3","POGR",776.421148
"1EQ3","POTR",359.6809826
"1EQ3","QURU",675.0969198
"1WA1","PIST",119.1449145
"1WA1","QURU",2689.085798
"1WA2","ACRU",229.2498952
"1WA2","POGR",211.2407133
"1WA2","QURU",2391.23922
"1WA3","ACRU",1202.766734
"1WA3","BEPA",1218.545385
"1WA3","FAGR",534.3378454
"1WA3","POGR",4217.219465
"1WA3","QURU",1256.6372
"1WP1","ACRU",358.8327525
"1WP1","BEPA",1218.545385
"1WP1","FAGR",352.75377
"1WP1","PIST",289.5292109
"1WP1","POGR",4918.148134
"1WP1","QURU",2448.188447
"1WP2","ACRU",290.5973525
"1WP2","BEPA",96.76891838
"1WP2","FAGR",177.287947
"1WP2","PIST",358.9270003
"1WP2","POGR",6021.986104
"1WP2","QURU",1010.092835
"1WP3","ACRU",1315.864082
"1WP3","BEPA",1218.545385
"1WP3","FAGR",534.3378454
"1WP3","POGR",2765.018101
"1WP3","QURU",1256.6372
"1WQ1","ACRU",162.8601811
"1WQ1","PIST",503.3617384
"1WQ1","QURU",2920.731158
"1WQ2","ACRU",667.6277824
"1WQ2","PIST",1762.355133
"1WQ2","QURU",5008.029109
"1WQ3","ACRU",703.4262346
"1WQ3","PIST",128.6796493
"1WQ3","POGR",211.2407133
"1WQ3","QURU",2911.337795
"2EA1","ACRU",1329.5771355
"2EA1","PIST",101.7954672
"2EA1","POGR",3224.326852
"2EA1","QURU",4052.034506
"2EA2","ACRU",923.4005765
"2EA2","FAGR",147.4113975
"2EA2","POGR",6844.148846
"2EA2","QURU",4409.932634
"2EA3","ACRU",833.417499
"2EA3","POGR",6844.148846
"2EA3","QURU",4330.811614
"2EP1","ACRU",316.9867337
"2EP1","PIST",101.7954672
"2EP1","POGR",2540.457033
"2EP1","QURU",8053.646443
"2EP2","ACRU",1304.9313384
"2EP2","FAGR",147.4113975
"2EP2","POGR",4997.732538
"2EP2","QURU",3854.821005
"2EP3","ACRU",741.2353064
"2EP3","POGR",1493.3326707
"2EP3","QURU",3999.247889
"2EQ1","ACRU",1454.8403027
"2EQ1","PIST",101.7954672
"2EQ1","POGR",3224.326852
"2EQ1","QURU",4261.107519
"2EQ2","ACRU",1129.3319977
"2EQ2","PIST",101.7954672
"2EQ2","POGR",1797.2189612
"2EQ2","QURU",3664.7624828
"2EQ3","ACRU",316.9867337
"2EQ3","PIST",101.7954672
"2EQ3","POGR",3735.047771
"2EQ3","QURU",7129.5390081
"2WA1","ACRU",541.1315402
"2WA1","QURU",8697.170354
"2WA2","ACRU",533.2304339
"2WA2","FAGR",161.2422607
"2WA2","POGR",3500.7320573
"2WA2","QURU",7354.1314921
"2WA3","ACRU",869.6086503
"2WA3","FAGR",301.9934811
"2WA3","PIRE",940.247369
"2WA3","POGR",5979.802364
"2WA3","QURU",1756.825929
"2WP1","ACRU",1308.8269137
"2WP1","FAGR",212.1360673
"2WP1","POGR",4088.924661
"2WP1","QURU",3595.553189
"2WP2","ACRU",818.2985827
"2WP2","FAGR",680.7125172
"2WP2","POGR",2684.3891169
"2WP2","QURU",5508.4534584
"2WQ1","ACRU",576.2152801
"2WQ1","FAGR",93.31316608
"2WQ1","POGR",479.1636183
"2WQ1","QURU",6325.204806
"2WQ2","ACRU",1229.6430621
"2WQ2","PIST",51.52997918
"2WQ2","POGR",3224.326852
"2WQ2","QURU",3414.7466578
"2WQ3","ACRU",489.601561
"2WQ3","POGR",2198.3454093
"2WQ3","QURU",7198.363457
"3EA1","ACRU",553.0224698
"3EA1","PIST",257.6891658
"3EA1","POGR",4615.3614
"3EA1","QURU",1237.858328
"3EA2","PIRE",471.4352996
"3EA2","PIST",332.6475748
"3EA2","POGR",6638.005367
"3EA2","QURU",816.7906181
"3EA3","ACRU",257.3043207
"3EA3","FAGR",301.7185917
"3EA3","PIRE",746.7173862
"3EA3","PIST",156.1450261
"3EA3","QURU",4680.745804
"3EP1","ACRU",839.5436054
"3EP1","PIST",54.10608544
"3EP1","POGR",3433.5490911
"3EP1","QURU",246.4736788
"3EP2","ACRU",593.9574266
"3EP2","FAGR",216.4243418
"3EP2","PIRE",764.5380725
"3EP2","PIST",84.94867472
"3EP2","POGR",4432.127988
"3EP2","QURU",816.7906181
"3EP3","ACRU",658.0851937
"3EP3","POGR",3099.8176671
"3EP3","QURU",246.4736788
"3EQ1","ACRU",839.5436054
"3EQ1","PIST",313.1068663
"3EQ1","POGR",1417.25114218
"3EQ2","ACRU",600.3741303
"3EQ2","FAGR",301.7185917
"3EQ2","PIRE",1792.4673022
"3EQ2","POGR",430.0526658
"3EQ2","QURU",2502.270971
"3EQ3","ACRU",751.7753509
"3EQ3","FAGR",301.7185917
"3EQ3","PIRE",548.1608546
"3EQ3","PIST",216.9662666
"3EQ3","POGR",67.92909464
"3EQ3","QURU",1849.22017938
"3WA1","ACRU",663.0803265
"3WA1","PIST",66.47610788
"3WA1","POGR",67.92909464
"3WA1","QURU",5667.740078
"3WA2","ACRU",450.9049893
"3WA2","FAGR",141.0261098
"3WA2","PIST",486.3971362
"3WA2","QURU",2600.744203
"3WA3","ACRU",326.1130614
"3WA3","FAGR",141.0261098
"3WA3","PIST",1875.2168617
"3WA3","POGR",1968.231576
"3WA3","QURU",967.618498
"3WP1","PIST",339.7946989
"3WP1","POGR",2211.241649
"3WP1","QURU",213.8246736
"3WP2","ACRU",359.2961374
"3WP2","PIST",1802.834559
"3WP2","POGR",2729.133255
"3WP3","ACRU",582.6555457
"3WP3","POGR",838.2555522
"3WP3","QURU",736.6721426
"3WQ1","ACRU",453.1198124
"3WQ1","PIST",142.5340744
"3WQ1","QURU",3908.9820681
"3WQ2","PIST",81.71283393
"3WQ2","QURU",2409.1148841
"3WQ3","ACRU",401.22855
"3WQ3","FAGR",141.0261098
"3WQ3","PIST",136.423676
"3WQ3","QURU",967.618498
"4EA1","ACRU",41.85387274
"4EA1","PIST",89.92024564
"4EA1","POGR",3554.123431
"4EA1","QURU",2364.8027153
"4EA2","ACRU",1044.9173937
"4EA2","PIST",1096.0625278
"4EA2","POGR",3345.3331597
"4EA2","QURU",829.2863042
"4EA3","PIST",1124.360427
"4EA3","POGR",3204.079285
"4EA3","QURU",1722.3233848
"4EP1","ACRU",106.8927018
"4EP1","PIST",546.0874032
"4EP1","POGR",2960.166004
"4EP1","QURU",2364.8027153
"4EP2 ","ACRU",1139.408657
"4EP2 ","PIST",188.8882791
"4EP2 ","POGR",876.1588718
"4EP2 ","QURU",7858.2786282
"4EP3","ACRU",1376.983774
"4EP3","PIST",264.3179271
"4EP3","POGR",1819.1394271
"4EP3","QURU",5167.944047
"4EQ1","ACRU",1089.143169
"4EQ1","PIST",430.0055419
"4EQ1","POGR",3547.840245
"4EQ1","QURU",5122.0139572
"4EQ2","ACRU",106.8927018
"4EQ2","PIST",1471.4514756
"4EQ2","POGR",3045.083263
"4EQ2","QURU",1654.025153
"4WA1","ACRU",156.1450261
"4WA1","BEPA",78.539825
"4WA1","PIST",2212.1055869
"4WA1","POGR",2722.7401136
"4WA1","QURU",1129.379122
"4WA2","ACRU",1178.71784
"4WA2","FAGR",65.03882908
"4WA2","PIST",842.4652868
"4WA2","QURU",4137.1638221
"4WA3","ACRU",1432.74705
"4WA3","FAGR",65.03882908
"4WA3","PIST",2187.7739497
"4WA3","QURU",5081.5738011
"4WP1","ACRU",273.0437016
"4WP1","BEPA",78.539825
"4WP1","PIST",1741.9661943
"4WP1","POGR",2900.7506269
"4WP2","ACRU",273.0437016
"4WP2","BEPA",78.539825
"4WP2","PIST",2212.1055869
"4WP2","POGR",2125.5861155
"4WP2","QURU",486.954769
"4WP3","ACRU",273.0437016
"4WP3","PIST",1928.5768189
"4WP3","POGR",1901.928256
"4WP3","QURU",1129.379122
"4WQ1","ACRU",378.9546556
"4WQ1","PIST",1744.8093358
"4WQ1","POGR",270.56969716
"4WQ1","QURU",968.8986971
"4WQ2","ACRU",1652.752807
"4WQ2","FAGR",65.03882908
"4WQ2","PIST",495.3899462
"4WQ2","POGR",376.6848547
"4WQ2","QURU",1481.928688
"4WQ3","FAGR",147.4113975
"4WQ3","PIST",3054.162467
"4WQ3","QURU",7911.670001
